Method,Seed,Test_Index,True_Linker,Generated_Linker,MACCS_Similarity,MCS_Similarity,Validity,Novelty,Property_Error,Threshold_Match_0.50,Threshold_Match_0.60,Threshold_Match_0.70,Threshold_Match_0.85,Threshold_Match_0.90
NO-RAG,999,329,O=C([O-])c1ccc(C(=O)[O-])c2ccccc12,O=C([O-])c1ccc(C(=O)[O-])cc1INVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
NO-RAG,999,330,c1nnnn1CCn1cnnn1,O=C(O)c1cncnc1,0.25,0.05,YES,YES,1.4367,NO,NO,NO,NO,NO
NO-RAG,999,331,O=C([O-])c1cc([N+](=O)[O-])c(C(=O)[O-])cc1[N+](=O)[O-],O=C([O-])c1cc([N+](=O)[O-])c(C(=O)[O-])cc1[N+](=O)[O-]INVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
NO-RAG,999,332,O=C([O-])c1ccccc1C(=O)[O-],O=C([O-])c1ccccc1C(=O)[O-]INVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
NO-RAG,999,333,CCCn1cnc2c1NC=NC2Cl,c1cc(-c2nnn[nH]2)ccn1,0.346,0.0,YES,YES,2.8419,NO,NO,NO,NO,NO
NO-RAG,999,334,O=C([O-])CCN1[CH]C=C(C2=C[CH]N(CCC(=O)[O-])C=C2)C=C1,O=C([O-])c1ccccc1F,0.182,0.117,YES,NO,1.1993,NO,NO,NO,NO,NO
NO-RAG,999,335,O=C([O-])c1cc(C(=O)[O-])cc(-c2cc(C(=O)[O-])cc(C(=O)[O-])c2)c1,O=C([O-])c1cc(C(=O)[O-])cc(-c2cc(C(=O)[O-])cc(C(=O)[O-])c2)c1INVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
NO-RAG,999,336,O=C([O-])C=Cc1ccncc1,O=C([O-])C=Cc1ccncc1INVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
NO-RAG,999,337,O=C([O-])c1ccc(C#Cc2ccc(C(=O)[O-])cc2)cc1,O=C([O-])c1ccc(-c2ccc(C(=O)[O-])cc2)cc1INVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
NO-RAG,999,338,C(c1nnn[nH]1)c1nnn[nH]1,O=C(O)CC(O)C(=O)O.O=C([O-])COC(O)C(O)C(O)C(=O)O,0.047,0.027,YES,YES,0.4549,NO,NO,NO,NO,NO
NO-RAG,999,339,O=C([O-])c1cc(O)c(C(=O)[O-])cc1O,O=C([O-])c1cc(O)c(C(=O)[O-])cc1OINVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
NO-RAG,999,340,CCc1c(C#N)c(CC)c(CC)c(C#N)c1CC,CCCOC=C(OCCC)C(OCCC)C(OCCC)C(OCCC)C(OCCC)C(OCCC)C(OCCC)(OCCC)C(C)OCCC,0.189,0.032,YES,YES,1.913,NO,NO,NO,NO,NO
NO-RAG,999,341,O=C([O-])c1cncc(O)c1,O=C([O-])c1cncc(O)c1INVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
NO-RAG,999,342,O=C([O-])c1cccc(C(=O)[O-])n1,O=C([O-])c1cccc(C(=O)[O-])n1INVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
NO-RAG,999,343,O=C([O-])c1cncc(-c2ccccc2C(=O)[O-])c1,O=C([O-])c1cncc(-c2ccccc2C(=O)[O-])c1INVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
NO-RAG,999,344,Cc1cc(C#Cc2cc(C)c(C(=O)[O-])c(C)c2)cc(C)c1C(=O)[O-],Nc1cc(C=Cc2cc(N)c(C(=O)[O-])c(N)c2)cc(N)c1C(=O)[O-],0.485,0.41,YES,NO,6.7134,NO,NO,NO,NO,NO
NO-RAG,999,345,c1cn(Cc2cc(Cn3ccnc3)c(Cn3ccnc3)cc2Cn2ccnc2)cn1,c1cc(Cn2ccnc2)cc(Cn2ccnc2)c1INVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
NO-RAG,999,346,Nc1cc(C(=O)[O-])ccc1-c1ccc(C(=O)[O-])cc1N,O=C([O-])c1ccccc1O,0.375,0.441,YES,NO,6.1628,NO,NO,NO,NO,NO
NO-RAG,999,347,O=C([O-])c1ccc(-c2ccc(C(=O)[O-])cc2O)c(O)c1,O=C([O-])c1ccc(-c2ccc(C(=O)[O-])cc2O)c(O)c1INVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
NO-RAG,999,348,O=C([O-])c1nccnc1C(=O)[O-],O=C([O-])c1nccnc1C(=O)[O-]INVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
NO-RAG,999,349,COc1cc(C(=O)[O-])ccc1C#Cc1cc(OC)c(C(=O)[O-])cc1-c1ccccc1,CCC=C1C=c2c(C(=O)[O-])cccc2=CC=C1C(=O)[O-],0.417,0.292,YES,YES,1.865,NO,NO,NO,NO,NO
NO-RAG,999,350,O=C([O-])c1c(F)c(F)c(C(=O)[O-])c2c(F)c(F)c(F)c(F)c12,O=C([O-])c1c(F)c(F)c(C(=O)[O-])c2ccccc12INVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
NO-RAG,999,351,O=C([O-])c1cnc(C(=O)[O-])cn1,O=C([O-])c1cccnc1C(=O)[O-]INVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
NO-RAG,999,352,O=C([O-])c1ccc(Oc2cc(Oc3ccc(C(=O)[O-])cc3)cc(C(=O)[O-])c2)cc1,O=C([O-])c1ccc(Oc2cc(Oc3ccc(C(=O)[O-])cc3)cc(C(=O)[O-])c2)cc1INVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
NO-RAG,999,353,O=C([O-])c1ccc(-c2cc(C(=O)[O-])cc(C(=O)[O-])c2)cc1,O=C([O-])c1ccc(-c2cc(C(=O)[O-])cc(C(=O)[O-])c2)cc1INVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
NO-RAG,999,354,O=C([O-])c1cc(F)c(C(=O)[O-])cc1F,O=C([O-])c1cc(F)c(C(=O)[O-])cc1FINVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
NO-RAG,999,355,[CH](NN[CH]c1ccncc1)c1ccncc1,c1cc(CCCc2ccncc2)ccn1INVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
NO-RAG,999,356,O=C([O-])c1ccccc1C(=O)O,O=C([O-])c1ccccc1C(=O)OINVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
NO-RAG,999,357,CC(CCC(=O)[O-])C(=O)[O-],CC(CCC(=O)[O-])C(=O)[O-]INVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
NO-RAG,999,358,O=C([O-])c1cc(S(O)(O)O)c(C(=O)[O-])c2c1CC2,O=C([O-])c1ccc(C(c2ccc(C(=O)[O-])c(C(=O)[O-])c2)(C(F)(F)F)C(F)(F)F)cc1C(=O)[O-],0.34,0.299,YES,NO,3.6475,NO,NO,NO,NO,NO
NO-RAG,999,359,CNC1(F)CC2(C#CC(=O)[O-])CCC1(C#CC(=O)[O-])CC2,CCC1CC2(C#CC(=O)[O-])CCC1(C#CC(=O)[O-])CC2OINVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
NO-RAG,999,360,Cc1nccn1Cc1ccncc1,c1cc(-c2nnc(-c3ccncc3)o2)ccn1,0.341,0.338,YES,YES,1.6293,NO,NO,NO,NO,NO
NO-RAG,999,361,c1cn(Cc2ccc(Cn3ccnc3)cc2)cn1,O=C(c1ccncc1)c1cccnc1,0.345,0.087,YES,NO,1.1553,NO,NO,NO,NO,NO
NO-RAG,999,362,c1cncnc1,c1cncnc1INVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
NO-RAG,999,363,CCC12C3C4(C(=O)[O-])C5(CC)C(C1(C(=O)[O-])C35[N+](=O)[O-])C24[N+](=O)[O-],O=C([O-])C1C(I)CC2(C(=O)[O-])CC1CC2I,0.312,0.471,YES,YES,1.4357,NO,NO,NO,NO,NO
NO-RAG,999,364,O=C([O-])CN(CC(=O)[O-])CC(=O)[O-],O=C([O-])CCC(=O)[O-],0.478,0.285,YES,YES,1.3653,NO,NO,NO,NO,NO
NO-RAG,999,365,c1cn(-c2ccc(NNc3ccc(-n4ccnc4)cc3)cc2)cn1,O=C1[CH]C(=O)NC(=S)N1,0.231,0.0,YES,NO,1.9487,NO,NO,NO,NO,NO
NO-RAG,999,366,Nc1cc(C#Cc2cc(N)c(C(=O)[O-])c(N)c2)cc(N)c1C(=O)[O-],O=C([O-])C1=CC=C2C=C(Br)C(=CC=C(CBr)C(=O)[O-])C2C=C1,0.256,0.148,YES,YES,6.7536,NO,NO,NO,NO,NO
NO-RAG,999,367,CCc1cc2c(cc(CC)c3ccc(C(=O)[O-])c(F)c32)c2cc(C(=O)[O-])ccc12,CC1C=C(C(=O)[O-])C(C(=O)O)=C(C(=O)[O-])C(C(=O)[O-])=C1CC(=O)O,0.371,0.12,YES,YES,1.6326,NO,NO,NO,NO,NO
NO-RAG,999,368,O=C(O)c1cccc(Oc2cccc(C(=O)O)c2C(=O)[O-])c1.O=C(O)c1cccc(Oc2cccc(C(=O)O)c2C(=O)[O-])c1,Cc1cccc(C)[n+]1C(=O)[O-],0.134,0.058,YES,YES,1.7661,NO,NO,NO,NO,NO
NO-RAG,999,369,O=C([O-])CN(CCN(CC(=O)[O-])CC(=O)[O-])CCN(CC(=O)O)CC(=O)O,O=C([O-])Cn1cnnn1,0.36,0.135,YES,NO,0.6757,NO,NO,NO,NO,NO
NO-RAG,999,370,c1ccc(SSc2ccccn2)nc1,c1cnc(SCSc2ncccn2)nc1INVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
NO-RAG,999,371,Nc1ccc(C=Cc2ccc(N)cc2S(O)(O)O)c(S(O)(O)O)c1,O=P(O)(O)c1ccccc1,0.395,0.246,YES,YES,0.6652,NO,NO,NO,NO,NO
NO-RAG,999,372,O=C([O-])c1cc(C(=O)[O-])c(C(=O)O)cc1C(=O)O,O=C([O-])c1cc(C(=O)[O-])c(C(=O)O)cc1C(=O)OINVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
NO-RAG,999,373,O=C(Nc1cccnc1)c1ccc(C(=O)Nc2cccnc2)s1,c1cc(-c2ccncc2)ccn1,0.375,0.253,YES,YES,1.5117,NO,NO,NO,NO,NO
NO-RAG,999,374,NC1=N[CH]NN1,Cn1nn[nH]c1=S,0.413,0.0,YES,YES,3.2333,NO,NO,NO,NO,NO
NO-RAG,999,375,O=C([O-])c1cc(C(=O)O)c(C(=O)[O-])cc1C(=O)O,O=C([O-])c1ccc(C(=O)[O-])cc1INVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
NO-RAG,999,376,O=[N+]([O-])c1cncc([N+](=O)[O-])c1C#Cc1c([N+](=O)[O-])cncc1[N+](=O)[O-],O=[N+]([O-])c1cncc([N+](=O)[O-])c1C#Cc1c([N+](=O)[O-])cncc1[N+](=O)[O-]INVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
NO-RAG,999,377,O=C([O-])C(O)=C(O)C(=O)[O-],O=C([O-])C(O)=C(O)C(=O)[O-]INVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
NO-RAG,999,378,C(#C[Si](C#Cc1cn[nH]c1)(C#CC1C=NN=C1)C#CC1C=NN=C1)C1=CN=N[CH]1,C(#C[Si](C#Cc1cn[nH]c1)(C#CC1C=NN=C1)C#CC1C=NN=C1)C1=CN=N[CH]1INVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
NO-RAG,999,379,O=C([O-])CN1[CH]C=C(c2nnn[nH]2)C=C1,O=C([O-])c1cncc(Cl)c1,0.28,0.17,YES,NO,2.1426,NO,NO,NO,NO,NO
NO-RAG,999,380,Nc1ccccc1S,O=C([O-])c1cccc(C(=O)O)n1.O=C([O-])c1cccc(C(=O)[O-])n1,0.078,0.0,YES,NO,0.6051,NO,NO,NO,NO,NO
NO-RAG,999,381,O=C([O-])c1nc(-c2ccc3ccccc3c2)[nH]c1C(=O)[O-],O=C([O-])c1cc(N2[CH]N=CN2)cc(N2[CH]N=CN2)c1,0.429,0.276,YES,YES,1.2577,NO,NO,NO,NO,NO
NO-RAG,999,382,O=C(O)c1ccc(-c2ccc(-c3ccc(C(=O)O)cc3C(=O)[O-])cc2)c(C(=O)[O-])c1,O=C(O)c1ccc(-c2ccc(-c3ccc(C(=O)O)cc3C(=O)[O-])cc2)c(C(=O)[O-])c1INVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
NO-RAG,999,383,c1ccc(-c2cc(-c3ccncc3)nc(-c3ccncc3)c2)nc1,C=CC=CC=C1C=CC=C(c2ccncc2)C=NC=C2NC=C(N=C1)C(=CC)c1cnccc12,0.467,0.199,YES,YES,3.7653,NO,NO,NO,NO,NO
NO-RAG,999,384,CSc1nccs1,O=P(O)(O)Cc1ccncc1,0.179,0.055,YES,YES,1.5843,NO,NO,NO,NO,NO
NO-RAG,999,385,O=C([O-])C1CCC(C(=O)[O-])CC1,O=C([O-])C1CCC(C(=O)[O-])CC1INVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
NO-RAG,999,386,c1c[nH]cn1,c1c[nH]cn1INVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
NO-RAG,999,387,c1ccc(-c2nnc(-c3ccncc3)[nH]2)nc1,c1ccc(-c2nnc(-c3ccncc3)[nH]2)nc1INVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
NO-RAG,999,388,O=C([O-])c1cccc(-c2c3nc(c(-c4cccc(C(=O)[O-])c4)c4ccc([nH]4)c(-c4cccc(C(=O)[O-])c4)c4nc(c(-c5cccc(C(=O)[O-])c5)c5ccc2[nH]5)C=C4)C=C3)c1,C=CN=CC=CNNC(=O)C1CC(C(=O)[O-])=CC1=CC(=O)[O-],0.367,0.058,YES,YES,1.211,NO,NO,NO,NO,NO
NO-RAG,999,389,O=C([O-])c1cc2c(cc1C(=O)[O-])C(=O)c1ccccc1C2=O,O=C([O-])c1ccccc1I,0.44,0.395,YES,NO,1.8559,NO,NO,NO,NO,NO
NO-RAG,999,390,Cc1cc2ccc3nc(C)ccc3c2cn1,CC=CC1=CC=Cc2cc(-c3cn[nH]c3)ccc2C12C=NN=C2,0.361,0.249,YES,YES,2.2692,NO,NO,NO,NO,NO
NO-RAG,999,391,Nc1nc2ccccc2[nH]1,Nc1nc2ccccc2[nH]1INVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
NO-RAG,999,392,O=C([O-])CCC(=O)[O-],O=C([O-])CCC(=O)[O-]INVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
NO-RAG,999,393,CNC12C3C4C5C3(C#CC(=O)[O-])C1C5(NC)C42C#CC(=O)[O-],CNC12C3C4C5C3(C#CC(=O)[O-])C1C5(NC)C42C#CC(=O)[O-]INVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
NO-RAG,999,394,O=C([O-])c1ccc(-c2ccccc2)cc1,O=C([O-])c1cccc(-c2cccnc2)c1INVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
NO-RAG,999,395,CCCOc1c(C(=O)[O-])ccc2c(OCCC)c(C(=O)[O-])ccc12,CCCOc1c(C(=O)[O-])ccc2c(OCCC)c(C(=O)[O-])ccc12INVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
NO-RAG,999,396,CN1c2cncc(n2)N(C)c2cncc(n2)N(C)c2cncc(n2)N(C)c2cncc1n2,C1=CC2C=CC1CSCc1cccc(c1)CS2,0.189,0.0,YES,YES,3.5858,NO,NO,NO,NO,NO
NO-RAG,999,397,CC(C(=O)[O-])C(=O)[O-],CC(C(=O)[O-])C(=O)[O-]INVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
NO-RAG,999,398,O=C([O-])C(F)=C(F)C(=O)[O-],O=C([O-])C(F)=C(F)C(=O)[O-]INVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
NO-RAG,999,399,O=C([O-])c1ccc(Oc2ccc(C(=O)[O-])c(C(=O)[O-])c2)cc1C(=O)[O-],O=C([O-])c1ccc(Oc2ccc(C(=O)[O-])c(C(=O)[O-])c2)cc1C(=O)[O-]INVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
Vanilla-RAG,42,0,O=C([O-])c1cc[n+]([O-])cc1,O=C([O-])c1cccc(C(=O)[O-])[n+]1[O-],0.794,0.538,YES,NO,0.5083,YES,YES,YES,NO,NO
Vanilla-RAG,42,1,O=C([O-])c1cc(C(=O)[O-])cc(S(O)(O)O)c1,O=C([O-])c1cc(C(=O)[O-])cc(S(O)(O)O)c1,1.0,1.0,YES,YES,1.3412,YES,YES,YES,YES,YES
Vanilla-RAG,42,2,O=C([O-])C1C(C(=O)[O-])C(C(=O)[O-])C(C(=O)[O-])C(C(=O)[O-])C1C(=O)[O-],O=C([O-])C1C(C(=O)[O-])C(C(=O)[O-])C1C(=O)[O-],0.846,0.15,YES,NO,2.5036,YES,YES,YES,NO,NO
Vanilla-RAG,42,3,O=C(O)CC(O)(CC(=O)O)C(=O)[O-],O=C([O-])CC(O)(CC(=O)O)C(=O)[O-],1.0,1.0,YES,NO,1.8766,YES,YES,YES,YES,YES
Vanilla-RAG,42,4,O=C([O-])c1cc(S(=O)(=O)c2ccc(C(=O)[O-])c(C(=O)O)c2)ccc1C(=O)O,O=C([O-])c1cc(C(=O)[O-])cc(S(O)(O)O)c1,0.7,0.365,YES,YES,1.0673,YES,YES,YES,NO,NO
Vanilla-RAG,42,5,c1nc[nH]n1,c1cn[nH]n1,0.9,0.0,YES,YES,2.321,YES,YES,YES,YES,YES
Vanilla-RAG,42,6,C1CCSC1,c1nnc[nH]1,0.16,0.0,YES,NO,0.9355,NO,NO,NO,NO,NO
Vanilla-RAG,42,7,O=C([O-])c1cc([N+](=O)[O-])c2c([N+](=O)[O-])c(C(=O)[O-])cc([N+](=O)[O-])c2c1[N+](=O)[O-],O=C([O-])c1c([N+](=O)[O-])c([N+](=O)[O-])c(C(=O)[O-])c2cc([N+](=O)[O-])c([N+](=O)[O-])cc12,0.949,0.669,YES,YES,0.9864,YES,YES,YES,YES,YES
Vanilla-RAG,42,8,O=C1C(=O)C(Cl)C(=O)C(=O)C1Cl,O=C1C(=O)C(Cl)C(=O)C(=O)C1ClINVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
Vanilla-RAG,42,9,O=C([O-])c1cc(N2[CH]N=CN2)cc(N2[CH]N=CN2)c1,Cc1c(CN2[CH]N=CN2)c(C)c(Cn2cncn2)c(C)c1CN1[CH]N=CN1,0.529,0.249,YES,YES,1.8965,YES,NO,NO,NO,NO
Vanilla-RAG,42,10,C1CNCCN1,C1CNCCN1,1.0,1.0,YES,YES,0.8306,YES,YES,YES,YES,YES
Vanilla-RAG,42,11,O=C([O-])c1c(F)c(F)c(C(=O)[O-])c2cc(F)c(F)cc12,O=C([O-])c1c(F)c(F)c(C(=O)[O-])c2cc(F)c(F)cc12,1.0,1.0,YES,YES,0.7136,YES,YES,YES,YES,YES
Vanilla-RAG,42,12,O=C1C([N+](=O)[O-])=CC([N+](=O)[O-])C(O)=C1[N+](=O)[O-],O=C(O)C1=CC([N+](=O)[O-])=CC([N+](=O)[O-])C1=O,0.95,0.212,YES,YES,1.4595,YES,YES,YES,YES,YES
Vanilla-RAG,42,13,O=C([O-])c1ccc(C(=O)[O-])c2ccccc12,O=C([O-])c1ccc(C(=O)[O-])cc1INVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
Vanilla-RAG,42,14,c1nnnn1CCn1cnnn1,O=C(O)c1cncnc1,0.25,0.05,YES,YES,1.3959,NO,NO,NO,NO,NO
Vanilla-RAG,42,15,O=C([O-])c1cc([N+](=O)[O-])c(C(=O)[O-])cc1[N+](=O)[O-],O=C([O-])c1cc([N+](=O)[O-])c(C(=O)[O-])cc1[N+](=O)[O-],1.0,1.0,YES,YES,0.7121,YES,YES,YES,YES,YES
Vanilla-RAG,42,16,O=C([O-])c1ccccc1C(=O)[O-],O=C([O-])c1ccc(C(=O)[O-])cc1,0.857,0.75,YES,YES,0.7234,YES,YES,YES,YES,NO
Vanilla-RAG,42,17,CCCn1cnc2c1NC=NC2Cl,CCCn1cnc2c1NC=NC2N,0.833,0.925,YES,NO,3.0395,YES,YES,YES,YES,YES
Vanilla-RAG,42,18,O=C([O-])CCN1[CH]C=C(C2=C[CH]N(CCC(=O)[O-])C=C2)C=C1,O=C([O-])CN1[CH]C=C(C2=C[CH]N(CC(=O)[O-])C=C2)C=C1,0.868,0.732,YES,YES,1.328,YES,YES,YES,YES,NO
Vanilla-RAG,42,19,O=C([O-])c1cc(C(=O)[O-])cc(-c2cc(C(=O)[O-])cc(C(=O)[O-])c2)c1,O=C([O-])c1ccc(C(=O)[O-])cc1,0.8,0.369,YES,NO,1.7811,YES,YES,YES,NO,NO
Vanilla-RAG,42,20,O=C([O-])C=Cc1ccncc1,O=C([O-])[CH][CH]c1ccccn1,0.875,0.545,YES,NO,2.4872,YES,YES,YES,YES,NO
Vanilla-RAG,42,21,O=C([O-])c1ccc(C#Cc2ccc(C(=O)[O-])cc2)cc1,O=C([O-])c1ccc(-c2ccc(C(=O)[O-])cc2)cc1INVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
Vanilla-RAG,42,22,C(c1nnn[nH]1)c1nnn[nH]1,O=C(O)CC(O)C(=O)O.O=C([O-])COC(O)C(O)C(O)C(=O)O,0.047,0.027,YES,YES,0.4728,NO,NO,NO,NO,NO
Vanilla-RAG,42,23,O=C([O-])c1cc(O)c(C(=O)[O-])cc1O,O=C([O-])c1cc(O)c(C(=O)[O-])cc1OINVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
Vanilla-RAG,42,24,CCc1c(C#N)c(CC)c(CC)c(C#N)c1CC,CCCOC=C(OCCC)C(OCCC)C(OCCC)C(OCCC)C(OCCC)C(OCCC)C(OCCC)(OCCC)C(C)OCCC,0.189,0.032,YES,YES,1.913,NO,NO,NO,NO,NO
Vanilla-RAG,42,25,O=C([O-])c1cncc(O)c1,O=C([O-])c1cccnc1C(=O)[O-],0.63,0.75,YES,YES,0.7783,YES,YES,YES,NO,NO
Vanilla-RAG,42,26,O=C([O-])c1cccc(C(=O)[O-])n1,O=C([O-])c1cccnc1C(=O)[O-],0.864,0.75,YES,YES,0.6173,YES,YES,YES,YES,NO
Vanilla-RAG,42,27,O=C([O-])c1cncc(-c2ccccc2C(=O)[O-])c1,O=C([O-])c1cccnc1-c1ncccc1C(=O)[O-],0.852,0.489,YES,YES,1.5356,YES,YES,YES,YES,NO
Vanilla-RAG,42,28,Cc1cc(C#Cc2cc(C)c(C(=O)[O-])c(C)c2)cc(C)c1C(=O)[O-],Nc1cc(C=Cc2cc(N)c(C(=O)[O-])c(N)c2)cc(N)c1C(=O)[O-],0.485,0.41,YES,NO,6.8334,NO,NO,NO,NO,NO
Vanilla-RAG,42,29,c1cn(Cc2cc(Cn3ccnc3)c(Cn3ccnc3)cc2Cn2ccnc2)cn1,c1cc(Cn2ccnc2)cc(Cn2ccnc2)c1INVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
Vanilla-RAG,42,30,Nc1cc(C(=O)[O-])ccc1-c1ccc(C(=O)[O-])cc1N,Nc1cc(C(=O)[O-])ccc1-c1ccc(C(=O)[O-])cc1N,1.0,1.0,YES,YES,5.5396,YES,YES,YES,YES,YES
Vanilla-RAG,42,31,O=C([O-])c1ccc(-c2ccc(C(=O)[O-])cc2O)c(O)c1,Nc1cc(C(=O)[O-])ccc1-c1ccc(C(=O)[O-])cc1N,0.581,0.902,YES,YES,3.4555,YES,YES,YES,YES,YES
Vanilla-RAG,42,32,O=C([O-])c1nccnc1C(=O)[O-],O=C([O-])c1cnccn1,0.8,0.75,YES,NO,0.8694,YES,YES,YES,NO,NO
Vanilla-RAG,42,33,COc1cc(C(=O)[O-])ccc1C#Cc1cc(OC)c(C(=O)[O-])cc1-c1ccccc1,CCC=C1C=c2c(C(=O)[O-])cccc2=CC=C1C(=O)[O-],0.417,0.292,YES,YES,1.865,NO,NO,NO,NO,NO
Vanilla-RAG,42,34,O=C([O-])c1c(F)c(F)c(C(=O)[O-])c2c(F)c(F)c(F)c(F)c12,O=C([O-])c1c(F)c(F)c(C(=O)[O-])c(F)c1F,0.818,0.625,YES,YES,0.7754,YES,YES,YES,NO,NO
Vanilla-RAG,42,35,O=C([O-])c1cnc(C(=O)[O-])cn1,O=C([O-])c1cccc(C(=O)[O-])n1,0.826,0.3,YES,YES,1.3073,YES,YES,YES,NO,NO
Vanilla-RAG,42,36,O=C([O-])c1ccc(Oc2cc(Oc3ccc(C(=O)[O-])cc3)cc(C(=O)[O-])c2)cc1,O=C([O-])C1=CC=COc2cc(Oc3ccc(C(=O)[O-])cc3)cc(C(=O)[O-])c2C=C1,0.714,0.651,YES,YES,0.6545,YES,YES,YES,NO,NO
Vanilla-RAG,42,37,O=C([O-])c1ccc(-c2cc(C(=O)[O-])cc(C(=O)[O-])c2)cc1,O=C([O-])c1ccc(C(=O)[O-])cc1,0.8,0.421,YES,YES,0.772,YES,YES,YES,NO,NO
Vanilla-RAG,42,38,O=C([O-])c1cc(F)c(C(=O)[O-])cc1F,O=C([O-])c1cc(F)c(C(=O)[O-])cc1F,1.0,1.0,YES,YES,1.4612,YES,YES,YES,YES,YES
Vanilla-RAG,42,39,[CH](NN[CH]c1ccncc1)c1ccncc1,c1cn(CCCCn2ccnc2)cn1,0.278,0.037,YES,YES,1.4591,NO,NO,NO,NO,NO
Vanilla-RAG,42,40,O=C([O-])c1ccccc1C(=O)O,O=C([O-])c1cc(C(=O)[O-])cc(C(=O)O)c1,0.867,0.6,YES,YES,3.2196,YES,YES,YES,YES,NO
Vanilla-RAG,42,41,CC(CCC(=O)[O-])C(=O)[O-],CC(CC(=O)[O-])C(=O)[O-],0.812,0.687,YES,YES,2.0419,YES,YES,YES,NO,NO
Vanilla-RAG,42,42,O=C([O-])c1cc(S(O)(O)O)c(C(=O)[O-])c2c1CC2,O=C([O-])c1ccc(C(=O)[O-])c(S(O)(O)O)c1,0.878,0.87,YES,YES,3.7763,YES,YES,YES,YES,NO
Vanilla-RAG,42,43,CNC1(F)CC2(C#CC(=O)[O-])CCC1(C#CC(=O)[O-])CC2,CCC1CC2(C#CC(=O)[O-])CCC1(C#CC(=O)[O-])CC2OINVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
Vanilla-RAG,42,44,Cc1nccn1Cc1ccncc1,c1cc(-c2nnc(-c3ccncc3)o2)ccn1,0.341,0.338,YES,YES,1.6293,NO,NO,NO,NO,NO
Vanilla-RAG,42,45,c1cn(Cc2ccc(Cn3ccnc3)cc2)cn1,c1ncn(Cc2ccc(Cn3cncn3)cc2)n1,0.733,0.533,YES,NO,1.1297,YES,YES,YES,NO,NO
Vanilla-RAG,42,46,c1cncnc1,c1cncnc1,1.0,1.0,YES,YES,0.9155,YES,YES,YES,YES,YES
Vanilla-RAG,42,47,CCC12C3C4(C(=O)[O-])C5(CC)C(C1(C(=O)[O-])C35[N+](=O)[O-])C24[N+](=O)[O-],O=C([O-])C1C(I)CC2(C(=O)[O-])CC1CC2I,0.312,0.471,YES,YES,1.4357,NO,NO,NO,NO,NO
Vanilla-RAG,42,48,O=C([O-])CN(CC(=O)[O-])CC(=O)[O-],NCC(=O)NCC(=O)[O-],0.444,0.523,YES,NO,1.4686,YES,NO,NO,NO,NO
